"Group","Year","Date","Sport","Gold","Athlete","Age","Country","Silver","Bronze","Total"
"S","2010","28/02/2010","Cross Country Skiing","0","Anna Haag","23","Sweden","2","0","2"
"S","2010","28/02/2010","Cross Country Skiing","2","Marcus Hellner","24","Sweden","0","0","2"
"S","2010","28/02/2010","Cross Country Skiing","1","Charlotte Kalla","22","Sweden","1","0","2"
"G","2010","28/02/2010","Cross Country Skiing","1","Claudia Künzel-Nystad","32","Germany","1","0","2"
"F","2010","28/02/2010","Cross Country Skiing","0","Aino-Kaisa Saarinen","31","Finland","0","2","2"
"G","2010","28/02/2010","Cross Country Skiing","1","Evi Sachenbacher-Stehle","29","Germany","1","0","2"
"G","2010","28/02/2010","Cross Country Skiing","0","Axel Teichmann","30","Germany","2","0","2"
"G","2006","26/02/2006","Cross Country Skiing","0","Tobias Angerer","28","Germany","1","1","2"
"R","2006","26/02/2006","Cross Country Skiing","1","Yuliya Chepalova","29","Russia","1","0","2"
"R","2006","26/02/2006","Cross Country Skiing","1","Yevgeny Dementyev","23","Russia","1","0","2"
"I","2006","26/02/2006","Cross Country Skiing","2","Giorgio Di Centa","33","Italy","0","0","2"
"S","2006","26/02/2006","Cross Country Skiing","1","Thobias Fredriksson","30","Sweden","0","1","2"
"G","2006","26/02/2006","Cross Country Skiing","0","Claudia Künzel-Nystad","28","Germany","2","0","2"
"S","2006","26/02/2006","Cross Country Skiing","2","Björn Lind","27","Sweden","0","0","2"
"R","2006","26/02/2006","Cross Country Skiing","1","Yevgeniya Medvedeva","29","Russia","0","1","2"
"C","2006","26/02/2006","Cross Country Skiing","1","Katerina Neumannová","32","Czech Republic","1","0","2"
"I","2006","26/02/2006","Cross Country Skiing","1","Pietro Piller Cottrer","31","Italy","0","1","2"
"E","2006","26/02/2006","Cross Country Skiing","2","Kristina Šmigun-Vähi","28","Estonia","0","0","2"
"N","2002","24/02/2002","Cross Country Skiing","2","Thomas Alsgaard","30","Norway","0","0","2"
"G","2002","24/02/2002","Cross Country Skiing","1","Viola Bauer","25","Germany","0","1","2"
"N","2002","24/02/2002","Cross Country Skiing","0","Anita Moen-Guidon","34","Norway","1","1","2"
"C","2002","24/02/2002","Cross Country Skiing","0","Katerina Neumannová","28","Czech Republic","2","0","2"
"G","2002","24/02/2002","Cross Country Skiing","1","Evi Sachenbacher-Stehle","21","Germany","1","0","2"
"N","2002","24/02/2002","Cross Country Skiing","1","Kristen Skjeldal","34","Norway","0","1","2"
"E","2002","24/02/2002","Cross Country Skiing","1","Andrus Veerpalu","31","Estonia","1","0","2"
"I","2002","24/02/2002","Cross Country Skiing","0","Cristian Zorzi","29","Italy","1","1","2"
"G","2012","12/08/2012","Canoeing","1","Tina Dietze","24","Germany","1","0","2"
"H","2012","12/08/2012","Canoeing","0","Natasa Douchev-Janics","30","Hungary","1","1","2"
"H","2012","12/08/2012","Canoeing","1","Katalin Kovács","36","Hungary","1","0","2"
"H","2012","12/08/2012","Canoeing","2","Danuta Kozák","25","Hungary","0","0","2"
"U","2012","12/08/2012","Canoeing","0","Inna Osypenko-Radomska","29","Ukraine","2","0","2"
"G","2012","12/08/2012","Canoeing","1","Franziska Weber","23","Germany","1","0","2"
"G","2008","24/08/2008","Canoeing","1","Tim Brabants","31","Great Britain","0","1","2"
"S","2008","24/08/2008","Canoeing","0","David Cal","25","Spain","2","0","2"
"H","2008","24/08/2008","Canoeing","1","Natasa Douchev-Janics","26","Hungary","1","0","2"
"G","2008","24/08/2008","Canoeing","0","Christian Gille","32","Germany","1","1","2"
"H","2008","24/08/2008","Canoeing","1","Katalin Kovács","32","Hungary","1","0","2"
"B","2008","24/08/2008","Canoeing","1","Vadim Makhnyov","28","Belarus","0","1","2"
"B","2008","24/08/2008","Canoeing","1","Roman Petrushenko","27","Belarus","0","1","2"
"G","2008","24/08/2008","Canoeing","1","Katrin Wagner-Augustin","30","Germany","0","1","2"
"A","2008","24/08/2008","Canoeing","1","Ken Wallace","25","Australia","0","1","2"
"G","2008","24/08/2008","Canoeing","0","Tomasz Wylenzek","25","Germany","1","1","2"
"A","2004","29/08/2004","Canoeing","0","Nathan Baggaley","28","Australia","2","0","2"
"S","2004","29/08/2004","Canoeing","1","David Cal","21","Spain","1","0","2"
"G","2004","29/08/2004","Canoeing","1","Andreas Dittmer","32","Germany","1","0","2"
"H","2004","29/08/2004","Canoeing","2","Natasa Douchev-Janics","22","Hungary","0","0","2"
"G","2004","29/08/2004","Canoeing","1","Birgit Fischer-Schmidt","42","Germany","1","0","2"
"R","2004","29/08/2004","Canoeing","0","Aleksandr Kostoglod","30","Russia","1","1","2"
"H","2004","29/08/2004","Canoeing","1","Katalin Kovács","28","Hungary","1","0","2"
"R","2004","29/08/2004","Canoeing","0","Aleksandr Kovalyov","29","Russia","1","1","2"
"N","2004","29/08/2004","Canoeing","1","Eirik Verås Larsen","28","Norway","0","1","2"
"G","2004","29/08/2004","Canoeing","1","Carolin Leonhardt","19","Germany","1","0","2"
"C","2004","29/08/2004","Canoeing","1","Adam Van Koeverden","22","Canada","0","1","2"
"G","2000","01/10/2000","Canoeing","1","Andreas Dittmer","28","Germany","0","1","2"
"G","2000","01/10/2000","Canoeing","2","Birgit Fischer-Schmidt","38","Germany","0","0","2"
"N","2000","01/10/2000","Canoeing","2","Knut Holmann","32","Norway","0","0","2"
"H","2000","01/10/2000","Canoeing","2","Zoltán Kammerer","22","Hungary","0","0","2"
"H","2000","01/10/2000","Canoeing","0","Katalin Kovács","24","Hungary","2","0","2"
"B","2000","01/10/2000","Canoeing","0","Petar Merkov","23","Bulgaria","2","0","2"
"R","2000","01/10/2000","Canoeing","1","Florin Popescu","26","Romania","0","1","2"
"R","2000","01/10/2000","Canoeing","1","Mitica Pricop","22","Romania","0","1","2"
"H","2000","01/10/2000","Canoeing","2","Botond Storcz","25","Hungary","0","0","2"
"H","2000","01/10/2000","Canoeing","0","Szilvia Szabó","21","Hungary","2","0","2"
"G","2000","01/10/2000","Canoeing","2","Katrin Wagner-Augustin","22","Germany","0","0","2"
"G","2010","28/02/2010","Bobsleigh","1","Kevin Kuske","31","Germany","1","0","2"
"G","2010","28/02/2010","Bobsleigh","1","André Lange","36","Germany","1","0","2"
"S","2006","26/02/2006","Bobsleigh","0","Martin Annen","32","Switzerland","0","2","2"
"S","2006","26/02/2006","Bobsleigh","0","Beat Hefti","28","Switzerland","0","2","2"
"G","2006","26/02/2006","Bobsleigh","2","Kevin Kuske","27","Germany","0","0","2"
"G","2006","26/02/2006","Bobsleigh","2","André Lange","32","Germany","0","0","2"
"N","2010","28/02/2010","Biathlon","1","Ole Einar Bjørndalen","36","Norway","1","0","2"
"F","2010","28/02/2010","Biathlon","0","Marie Laure Brunet","21","France","1","1","2"
"F","2010","28/02/2010","Biathlon","0","Marie Dorin","23","France","1","1","2"
"G","2010","28/02/2010","Biathlon","0","Simone Hauswald","30","Germany","0","2","2"
"F","2010","28/02/2010","Biathlon","1","Vincent Jay","24","France","0","1","2"
"S","2010","28/02/2010","Biathlon","1","Anastasia Kuzmina","25","Slovakia","1","0","2"
"A","2010","28/02/2010","Biathlon","0","Christoph Sumann","34","Austria","2","0","2"
"R","2010","28/02/2010","Biathlon","1","Yevgeny Ustyugov","24","Russia","0","1","2"
"R","2010","28/02/2010","Biathlon","1","Olga Zaytseva","31","Russia","1","0","2"
"F","2006","26/02/2006","Biathlon","1","Florence Baverel-Robert","31","France","0","1","2"
"F","2006","26/02/2006","Biathlon","1","Vincent Defrasne","28","France","0","1","2"
"N","2006","26/02/2006","Biathlon","0","Halvard Hanevold","36","Norway","1","1","2"
"R","2006","26/02/2006","Biathlon","2","Svetlana Ishmuratova","33","Russia","0","0","2"
"S","2006","26/02/2006","Biathlon","1","Anna-Carin Olofsson-Zidek","32","Sweden","1","0","2"
"G","2002","24/02/2002","Biathlon","1","Uschi Disl","31","Germany","1","0","2"
"G","2002","24/02/2002","Biathlon","0","Sven Fischer","30","Germany","2","0","2"
"G","2002","24/02/2002","Biathlon","0","Ricco Groß","31","Germany","1","1","2"
"G","2002","24/02/2002","Biathlon","2","Andrea Henkel","24","Germany","0","0","2"
"G","2002","24/02/2002","Biathlon","0","Frank Luck","34","Germany","2","0","2"
"F","2002","24/02/2002","Biathlon","0","Raphaël Poirée","27","France","1","1","2"
"R","2002","24/02/2002","Biathlon","1","Olga Pylyova-Medvedtseva","26","Russia","0","1","2"
"N","2002","24/02/2002","Biathlon","0","Liv Grete Skjelbreid-Poirée","27","Norway","2","0","2"
"S","2002","24/02/2002","Biathlon","0","Magdalena Wallin-Forsberg","34","Sweden","0","2","2"
"C","2012","12/08/2012","Badminton","2","Zhao Yunlei","25","China","0","0","2"
"S","2008","24/08/2008","Badminton","1","Lee Hyo-Jeong","27","South Korea","1","0","2"
"C","2008","24/08/2008","Badminton","1","Yu Yang","22","China","0","1","2"
"C","2004","29/08/2004","Badminton","1","Gao Ling","25","China","1","0","2"
"C","2000","01/10/2000","Badminton","1","Gao Ling","21","China","0","1","2"
"R","2012","12/08/2012","Athletics","1","Nataliya Antyukh","31","Russia","1","0","2"
"J","2012","12/08/2012","Athletics","0","Veronica Campbell-Brown","30","Jamaica","1","1","2"
"K","2012","12/08/2012","Athletics","0","Vivian Cheruiyot","28","Kenya","1","1","2"
"U","2012","12/08/2012","Athletics","0","Will Claye","21","United States","1","1","2"
"E","2012","12/08/2012","Athletics","1","Tirunesh Dibaba","27","Ethiopia","0","1","2"
"G","2012","12/08/2012","Athletics","2","Mo Farah","29","Great Britain","0","0","2"
"U","2012","12/08/2012","Athletics","0","Justin Gatlin","30","United States","1","1","2"
"T","2012","12/08/2012","Athletics","0","Lalonde Gordon","23","Trinidad and Tobago","0","2","2"
"U","2012","12/08/2012","Athletics","2","Sanya Richards-Ross","27","United States","0","0","2"
"U","2012","12/08/2012","Athletics","1","DeeDee Trotter","29","United States","0","1","2"
"T","2008","24/08/2008","Athletics","0","Elvan Abeylegesse","25","Turkey","2","0","2"
"E","2008","24/08/2008","Athletics","2","Kenenisa Bekele","26","Ethiopia","0","0","2"
"U","2008","24/08/2008","Athletics","1","Kerron Clement","22","United States","1","0","2"
"E","2008","24/08/2008","Athletics","2","Tirunesh Dibaba","23","Ethiopia","0","0","2"
"U","2008","24/08/2008","Athletics","0","Walter Dix","22","United States","0","2","2"
"U","2008","24/08/2008","Athletics","1","Allyson Felix","22","United States","1","0","2"
"R","2008","24/08/2008","Athletics","1","Yuliya Gushchina","25","Russia","1","0","2"
"R","2008","24/08/2008","Athletics","0","Tatyana Lebedeva","32","Russia","2","0","2"
"U","2008","24/08/2008","Athletics","2","LaShawn Merritt","22","United States","0","0","2"
"U","2008","24/08/2008","Athletics","1","David Neville","24","United States","0","1","2"
"U","2008","24/08/2008","Athletics","1","Sanya Richards-Ross","23","United States","0","1","2"
"J","2008","24/08/2008","Athletics","0","Kerron Stewart","24","Jamaica","1","1","2"
"A","2008","24/08/2008","Athletics","0","Jared Tallent","23","Australia","1","1","2"
"U","2008","24/08/2008","Athletics","2","Angelo Taylor","29","United States","0","0","2"
"T","2008","24/08/2008","Athletics","0","Richard Thompson","23","Trinidad and Tobago","2","0","2"
"U","2008","24/08/2008","Athletics","1","Jeremy Wariner","24","United States","1","0","2"
"J","2008","24/08/2008","Athletics","0","Shericka Williams","22","Jamaica","1","1","2"
"R","2004","29/08/2004","Athletics","0","Nataliya Antyukh","23","Russia","1","1","2"
"E","2004","29/08/2004","Athletics","1","Kenenisa Bekele","22","Ethiopia","1","0","2"
"U","2004","29/08/2004","Athletics","1","Derrick Brew","26","United States","0","1","2"
"U","2004","29/08/2004","Athletics","1","Shawn Crawford","26","United States","1","0","2"
"M","2004","29/08/2004","Athletics","2","Hicham El Guerrouj","29","Morocco","0","0","2"
"U","2004","29/08/2004","Athletics","0","Maurice Greene","30","United States","1","1","2"
"U","2004","29/08/2004","Athletics","1","Otis Harris","22","United States","1","0","2"
"G","2004","29/08/2004","Athletics","2","Kelly Holmes","34","Great Britain","0","0","2"
"R","2004","29/08/2004","Athletics","1","Tatyana Lebedeva","28","Russia","0","1","2"
"U","2004","29/08/2004","Athletics","2","Jeremy Wariner","20","United States","0","0","2"
"T","2000","01/10/2000","Athletics","0","Ato Boldon","26","Trinidad and Tobago","1","1","2"
"B","2000","01/10/2000","Athletics","2","Pauline Davis-Thompson","34","Bahamas","0","0","2"
"J","2000","01/10/2000","Athletics","0","Lorraine Graham","27","Jamaica","2","0","2"
"U","2000","01/10/2000","Athletics","2","Maurice Greene","26","United States","0","0","2"
"J","2000","01/10/2000","Athletics","0","Greg Haughton","26","Jamaica","1","1","2"
"J","2000","01/10/2000","Athletics","0","Deon Hemmings","31","Jamaica","2","0","2"
"P","2000","01/10/2000","Athletics","2","Robert Korzeniowski","32","Poland","0","0","2"
"J","2000","01/10/2000","Athletics","0","Tayna Lawrence","25","Jamaica","2","0","2"
"J","2000","01/10/2000","Athletics","0","Beverly McDonald","30","Jamaica","1","1","2"
"J","2000","01/10/2000","Athletics","0","Merlene Ottey-Page","40","Jamaica","1","1","2"
"R","2000","01/10/2000","Athletics","1","Irina Privalova","31","Russia","0","1","2"
"R","2000","01/10/2000","Athletics","1","Gabriela Szabo","24","Romania","0","1","2"
"E","2000","01/10/2000","Athletics","0","Gete Wami","25","Ethiopia","1","1","2"
"A","2010","28/02/2010","Alpine Skiing","0","Elisabeth Görgl","28","Austria","0","2","2"
"U","2010","28/02/2010","Alpine Skiing","1","Lindsey Kildow-Vonn","25","United States","0","1","2"
"C","2010","28/02/2010","Alpine Skiing","0","Ivica Kostelic","30","Croatia","2","0","2"
"U","2010","28/02/2010","Alpine Skiing","0","Julia Mancuso","25","United States","2","0","2"
"S","2010","28/02/2010","Alpine Skiing","0","Tina Maze","26","Slovenia","2","0","2"
"G","2010","28/02/2010","Alpine Skiing","2","Maria Riesch","25","Germany","0","0","2"
"A","2006","26/02/2006","Alpine Skiing","2","Michaela Dorfmeister","32","Austria","0","0","2"
"C","2006","26/02/2006","Alpine Skiing","1","Janica Kostelic","24","Croatia","1","0","2"
"A","2006","26/02/2006","Alpine Skiing","0","Hermann Maier","33","Austria","1","1","2"
"A","2006","26/02/2006","Alpine Skiing","2","Benjamin Raich","27","Austria","0","0","2"
"A","2006","26/02/2006","Alpine Skiing","0","Marlies Schild","24","Austria","1","1","2"
"A","2006","26/02/2006","Alpine Skiing","0","Rainer Schönfelder","28","Austria","0","2","2"
"N","2002","24/02/2002","Alpine Skiing","2","Kjetil André Aamodt","30","Norway","0","0","2"
"A","2002","24/02/2002","Alpine Skiing","0","Renate Götschl","26","Austria","1","1","2"
"N","2002","24/02/2002","Alpine Skiing","0","Lasse Kjus","31","Norway","1","1","2"
"U","2002","24/02/2002","Alpine Skiing","0","Bode Miller","24","United States","2","0","2"
"S","2002","24/02/2002","Alpine Skiing","0","Anja Pärson","20","Sweden","1","1","2"
"A","2002","24/02/2002","Alpine Skiing","0","Benjamin Raich","23","Austria","0","2","2"
"S","2012","12/08/2012","Archery","2","Ki Bo-Bae","24","South Korea","0","0","2"
"S","2012","12/08/2012","Archery","1","Oh Jin-Hyek","30","South Korea","0","1","2"
"S","2008","24/08/2008","Archery","1","Park Gyeong-Mo","32","South Korea","1","0","2"
"S","2008","24/08/2008","Archery","1","Park Seong-Hyeon","25","South Korea","1","0","2"
"S","2008","24/08/2008","Archery","1","Yun Ok-Hui","23","South Korea","0","1","2"
"C","2008","24/08/2008","Archery","1","Zhang Juanjuan","27","China","1","0","2"
"S","2004","29/08/2004","Archery","1","Lee Seong-Jin","19","South Korea","1","0","2"
"S","2004","29/08/2004","Archery","2","Park Seong-Hyeon","21","South Korea","0","0","2"
"S","2000","01/10/2000","Archery","1","Kim Nam-Sun","20","South Korea","1","0","2"
"S","2000","01/10/2000","Archery","1","Kim Su-Nyeong","29","South Korea","0","1","2"
"U","2000","01/10/2000","Archery","0","Vic Wunderle","24","United States","1","1","2"
"S","2000","01/10/2000","Archery","2","Yun Mi-Jin","17","South Korea","0","0","2"
"A","2012","12/08/2012","Wrestling","0","Artur Aleksanyan","20","Armenia","0","1","1"
"U","2012","12/08/2012","Wrestling","0","Valeriy Andriitsev","25","Ukraine","1","0","1"
"A","2012","12/08/2012","Wrestling","0","Rövs?n Bayramov","25","Azerbaijan","1","0","1"
"U","2012","12/08/2012","Wrestling","1","Jordan Burroughs","24","United States","0","0","1"
"U","2012","12/08/2012","Wrestling","0","Clarissa Chun","30","United States","0","1","1"
"I","2012","12/08/2012","Wrestling","0","Yogeshwar Dutt","29","India","0","1","1"
"P","2012","12/08/2012","Wrestling","0","Jaime Espinal","27","Puerto Rico","1","0","1"
"S","2012","12/08/2012","Wrestling","0","Johan Eurén","27","Sweden","0","1","1"
"E","2012","12/08/2012","Wrestling","0","Karam Gaber","32","Egypt","1","0","1"
"K","2012","12/08/2012","Wrestling","0","Daniyal Gadzhiyev","26","Kazakhstan","0","1","1"
"I","2012","12/08/2012","Wrestling","0","Komeil Ghasemi","24","Iran","0","1","1"
"G","2012","12/08/2012","Wrestling","0","Giorgi Gogshelidze","32","Georgia","0","1","1"
"I","2012","12/08/2012","Wrestling","0","Sadegh Goudarzi","24","Iran","1","0","1"
"F","2012","12/08/2012","Wrestling","0","Steeve Guénot","26","France","0","1","1"
"C","2012","12/08/2012","Wrestling","0","Carol Huynh","31","Canada","0","1","1"
"J","2012","12/08/2012","Wrestling","1","Kaori Icho","28","Japan","0","0","1"
"P","2012","12/08/2012","Wrestling","0","Damian Janikowski","23","Poland","0","1","1"
"C","2012","12/08/2012","Wrestling","0","Jing Ruixue","24","China","1","0","1"
"A","2012","12/08/2012","Wrestling","0","Arsen Julfalakyan","25","Armenia","1","0","1"
"T","2012","12/08/2012","Wrestling","0","Riza Kayaalp","22","Turkey","0","1","1"
"L","2012","12/08/2012","Wrestling","0","Aleksandras Kazakevicius","26","Lithuania","0","1","1"
"G","2012","12/08/2012","Wrestling","0","Vladimer Khinchegashvili","21","Georgia","1","0","1"
"R","2012","12/08/2012","Wrestling","1","Alan Khugayev","23","Russia","0","0","1"
"S","2012","12/08/2012","Wrestling","1","Kim Hyeon-Wu","23","South Korea","0","0","1"
"R","2012","12/08/2012","Wrestling","0","Besik Kudukhov","25","Russia","1","0","1"
"I","2012","12/08/2012","Wrestling","0","Sushil Kumar","29","India","1","0","1"
"R","2012","12/08/2012","Wrestling","0","Zaur Kuramagomedov","24","Russia","0","1","1"
"I","2012","12/08/2012","Wrestling","0","Ehsan Naser Lashgari","26","Iran","0","1","1"
"G","2012","12/08/2012","Wrestling","0","Revaz Lashkhi","24","Georgia","1","0","1"
"S","2012","12/08/2012","Wrestling","0","Jimmy Lidberg","30","Sweden","0","1","1"
"C","2012","12/08/2012","Wrestling","0","Liván López","30","Cuba","0","1","1"
"C","2012","12/08/2012","Wrestling","1","Mijaín López","29","Cuba","0","0","1"
"H","2012","12/08/2012","Wrestling","0","Tamás Lorincz","25","Hungary","1","0","1"
"R","2012","12/08/2012","Wrestling","0","Bilyal Makhov","24","Russia","0","1","1"
"K","2012","12/08/2012","Wrestling","0","Gyuzel Manyurova","34","Kazakhstan","0","1","1"
"G","2012","12/08/2012","Wrestling","0","Dato Marsagishvili","21","Georgia","0","1","1"
"J","2012","12/08/2012","Wrestling","0","Ryutaro Matsumoto","26","Japan","0","1","1"
"H","2012","12/08/2012","Wrestling","0","Péter Módos","24","Hungary","0","1","1"
"G","2012","12/08/2012","Wrestling","0","Davit Modzmanashvili","25","Georgia","1","0","1"
"E","2012","12/08/2012","Wrestling","0","Heiki Nabi","27","Estonia","1","0","1"
"I","2012","12/08/2012","Wrestling","1","Omid Noroozi","26","Iran","0","0","1"
"J","2012","12/08/2012","Wrestling","1","Hitomi Obara","31","Japan","0","0","1"
"R","2012","12/08/2012","Wrestling","1","Dzhamal Otarsultanov","25","Russia","0","0","1"
"A","2012","12/08/2012","Wrestling","0","Xetaq Qazyumov","29","Azerbaijan","0","1","1"
"A","2012","12/08/2012","Wrestling","0","Yuliya Ratkeviç","27","Azerbaijan","0","1","1"
"C","2012","12/08/2012","Wrestling","0","Jackeline Rentería","26","Colombia","0","1","1"
"I","2012","12/08/2012","Wrestling","1","Ghasem Rezaei","26","Iran","0","0","1"
"U","2012","12/08/2012","Wrestling","0","Coleman Scott","26","United States","0","1","1"
"R","2012","12/08/2012","Wrestling","0","Mingiyan Semyonov","22","Russia","0","1","1"
"M","2012","12/08/2012","Wrestling","0","Soronzonboldyn Battsetseg","22","Mongolia","0","1","1"
"I","2012","12/08/2012","Wrestling","1","Hamid Soryan","26","Iran","0","0","1"
"A","2012","12/08/2012","Wrestling","0","Mariya Stadnik","24","Azerbaijan","1","0","1"
"A","2012","12/08/2012","Wrestling","1","S?rif S?rifov","23","Azerbaijan","0","0","1"
"K","2012","12/08/2012","Wrestling","0","Akzhurek Tanatarov","25","Kazakhstan","0","1","1"
"U","2012","12/08/2012","Wrestling","1","Artur Taymazov","33","Uzbekistan","0","0","1"
"U","2012","12/08/2012","Wrestling","0","Soslan Tigiyev","28","Uzbekistan","0","1","1"
"R","2012","12/08/2012","Wrestling","0","Rustam Totrov","28","Russia","1","0","1"
"R","2012","12/08/2012","Wrestling","0","Denis Tsargush","24","Russia","0","1","1"
"G","2012","12/08/2012","Wrestling","0","Manuchar Tskhadaia","27","Georgia","0","1","1"
"S","2012","12/08/2012","Wrestling","0","Maider Unda","35","Spain","0","1","1"
"U","2012","12/08/2012","Wrestling","1","Jake Varner","26","United States","0","0","1"
"C","2012","12/08/2012","Wrestling","0","Tonya Verbeek","34","Canada","1","0","1"
"R","2012","12/08/2012","Wrestling","1","Roman Vlasov","21","Russia","0","0","1"
"R","2012","12/08/2012","Wrestling","0","Lyubov Volosova","29","Russia","0","1","1"
"R","2012","12/08/2012","Wrestling","1","Nataliya Vorobyova","21","Russia","0","0","1"
"N","2012","12/08/2012","Wrestling","0","Yang Kyong-Il","23","North Korea","0","1","1"
"J","2012","12/08/2012","Wrestling","1","Tatsuhiro Yonemitsu","26","Japan","0","0","1"
"J","2012","12/08/2012","Wrestling","1","Saori Yoshida","29","Japan","0","0","1"
"J","2012","12/08/2012","Wrestling","0","Shinichi Yumoto","27","Japan","0","1","1"
"B","2012","12/08/2012","Wrestling","0","Stanka Zlateva","29","Bulgaria","1","0","1"
"A","2012","12/08/2012","Wrestling","0","Emin ?hm?dov","25","Azerbaijan","0","1","1"
"A","2012","12/08/2012","Wrestling","1","Togrul ?sg?rov","19","Azerbaijan","0","0","1"
"T","2008","24/08/2008","Wrestling","0","Yusuf Abdusalomov","30","Tajikistan","1","0","1"
"R","2008","24/08/2008","Wrestling","0","Bakhtiyar Akhmedov","21","Russia","1","0","1"
"R","2008","24/08/2008","Wrestling","1","Islam-Beka Albiyev","19","Russia","0","0","1"
"A","2008","24/08/2008","Wrestling","0","Roman Amoyan","24","Armenia","0","1","1"
"T","2008","24/08/2008","Wrestling","0","Nazmi Avluca","31","Turkey","0","1","1"
"R","2008","24/08/2008","Wrestling","0","Khasan Baroyev","25","Russia","1","0","1"
"R","2008","24/08/2008","Wrestling","1","Mavlet Batyrov","24","Russia","0","0","1"
"A","2008","24/08/2008","Wrestling","0","Rövs?n Bayramov","21","Azerbaijan","1","0","1"
"K","2008","24/08/2008","Wrestling","0","Kanat Begaliyev","24","Kyrgyzstan","1","0","1"
"U","2008","24/08/2008","Wrestling","1","Henry Cejudo","21","United States","0","0","1"
"C","2008","24/08/2008","Wrestling","0","Chang Yongxiang","24","China","1","0","1"
"U","2008","24/08/2008","Wrestling","0","Taras Danko","28","Ukraine","0","1","1"
"G","2008","24/08/2008","Wrestling","0","Mirko Englich","29","Germany","1","0","1"
"U","2008","24/08/2008","Wrestling","0","Vasyl Fedoryshyn","27","Ukraine","1","0","1"
"H","2008","24/08/2008","Wrestling","0","Zoltán Fodor","23","Hungary","1","0","1"
"B","2008","24/08/2008","Wrestling","0","Murad Gaydarov","28","Belarus","0","1","1"
"G","2008","24/08/2008","Wrestling","0","Giorgi Gogshelidze","28","Georgia","0","1","1"
"F","2008","24/08/2008","Wrestling","0","Christophe Guénot","29","France","0","1","1"
"F","2008","24/08/2008","Wrestling","1","Steeve Guénot","22","France","0","0","1"
"J","2008","24/08/2008","Wrestling","0","Kyoko Hamaguchi","30","Japan","0","1","1"
"C","2008","24/08/2008","Wrestling","1","Carol Huynh","27","Canada","0","0","1"
"J","2008","24/08/2008","Wrestling","0","Chiharu Icho","26","Japan","1","0","1"
"J","2008","24/08/2008","Wrestling","1","Kaori Icho","24","Japan","0","0","1"
"G","2008","24/08/2008","Wrestling","1","Manuchar K'virk'elia","29","Georgia","0","0","1"
"R","2008","24/08/2008","Wrestling","0","Alyona Kartashova","26","Russia","1","0","1"
"R","2008","24/08/2008","Wrestling","0","Georgy Ketoyev","22","Russia","0","1","1"
"R","2008","24/08/2008","Wrestling","1","Aslanbek Khushtov","28","Russia","0","0","1"
"R","2008","24/08/2008","Wrestling","0","Besik Kudukhov","22","Russia","0","1","1"
"I","2008","24/08/2008","Wrestling","0","Sushil Kumar","25","India","0","1","1"
"C","2008","24/08/2008","Wrestling","1","Mijaín López","25","Cuba","0","0","1"
"K","2008","24/08/2008","Wrestling","0","Aset Mambetov","26","Kazakhstan","0","1","1"
"R","2008","24/08/2008","Wrestling","1","Nazyr Mankiyev","23","Russia","0","0","1"
"J","2008","24/08/2008","Wrestling","0","Tomohiro Matsunaga","28","Japan","1","0","1"
"U","2008","24/08/2008","Wrestling","0","Iryna Merleni-Mykulchyn","26","Ukraine","0","1","1"
"U","2008","24/08/2008","Wrestling","0","Randi Miller","24","United States","0","1","1"
"G","2008","24/08/2008","Wrestling","1","Revaz Mindorashvili","32","Georgia","0","0","1"
"I","2008","24/08/2008","Wrestling","1","Andrea Minguzzi","26","Italy","0","0","1"
"L","2008","24/08/2008","Wrestling","0","Mindaugas Mizgaitis","28","Lithuania","0","1","1"
"I","2008","24/08/2008","Wrestling","0","Seyed Mohammadi","28","Iran","0","1","1"
"R","2008","24/08/2008","Wrestling","1","Sharvani Muradov","23","Russia","0","0","1"
"S","2008","24/08/2008","Wrestling","0","David Musulbes","36","Slovakia","0","1","1"
"K","2008","24/08/2008","Wrestling","0","Marid Mutalimov","28","Kazakhstan","0","1","1"
"S","2008","24/08/2008","Wrestling","0","Park Eun-Chul","27","South Korea","0","1","1"
"A","2008","24/08/2008","Wrestling","0","Yury Patrikeyev","28","Armenia","0","1","1"
"A","2008","24/08/2008","Wrestling","0","Xetaq Qazyumov","25","Azerbaijan","0","1","1"
"C","2008","24/08/2008","Wrestling","0","Jackeline Rentería","22","Colombia","0","1","1"
"A","2008","24/08/2008","Wrestling","0","Vitaliy R?himov","23","Azerbaijan","1","0","1"
"T","2008","24/08/2008","Wrestling","1","Ramazan Sahin","25","Turkey","0","0","1"
"R","2008","24/08/2008","Wrestling","1","Buvaisa Saytiyev","33","Russia","0","0","1"
"B","2008","24/08/2008","Wrestling","0","Mikhail Semyonov","24","Belarus","0","1","1"
"K","2008","24/08/2008","Wrestling","0","Yelena Shalygina","21","Kazakhstan","0","1","1"
"U","2008","24/08/2008","Wrestling","0","Andriy Stadnik","26","Ukraine","1","0","1"
"A","2008","24/08/2008","Wrestling","0","Mariya Stadnik","20","Azerbaijan","0","1","1"
"U","2008","24/08/2008","Wrestling","1","Artur Taymazov","29","Uzbekistan","0","0","1"
"K","2008","24/08/2008","Wrestling","0","Nurbakyt Tengizbayev","25","Kazakhstan","0","1","1"
"B","2008","24/08/2008","Wrestling","0","Kiril Terziev","24","Bulgaria","0","1","1"
"U","2008","24/08/2008","Wrestling","0","Soslan Tigiyev","24","Uzbekistan","1","0","1"
